species,mean,min,max,std,median,p95,non_zero_fraction,non_zero_count,cumulative_coverage
H2+,48.89970694266643,3.7886602153501957e-60,148726.60978600997,1550.4576596845898,1.7388285513997175e-15,0.0407895758540892,0.9054875,144878,99.99999999999997
H1+,30.56036925299468,2.103641622881167e-38,38258.91811578568,466.39008874399207,1.3067901425721818e-08,18.64759398046313,0.97278125,155645,99.99999999999997
C4H6O4,12.05515021349903,1e-155,275449.1156976661,1248.552240353503,2.6538017373718334e-79,2.472179538365502e-25,0.0754875,12078,99.99999999999997
N1+,0.8922100266905684,1.5113212409609402e-53,7355.06491097406,52.20912145159441,1.3260309516332443e-14,0.0108765032089633,0.82758125,132413,99.99999999999997
comp_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.99999999999997
comp_O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.99999999999997
comp_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.99999999999997
comp_N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.99999999999997
comp_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.99999999999997
group_index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.99999999999997
point_index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99.99999999999997
