temperature,pressure,group_index,point_index,comp_H,comp_O,comp_C,comp_N,comp_S,species,observed,predicted,rel_err%,log10P
1336.3240252717233,0.0016879229399407,1.7488897903390577e-15,3.694529682091259e-14,1.7294672523299351e-09,0.1166826625243674,6.757839718723111e-08,0.0125120680857897,0.8708052000819784,N2,0.013285529,0.011062911,16.729618,-2.7726473844416786
2078.4569876580226,6.129035870768334e-10,7.491211079137923e-09,2.444007614568748e-07,0.0001121193106709,0.9552307024629664,0.0159618759574365,0.0261437972577136,0.0025515050112124,N2,0.0134351645,0.016033247,19.33793,-9.21260783689048
2124.8708927613643,0.0011185603070713,4.196395463937342e-15,1.4110379747489312e-13,2.0371679038838195e-06,1.7309921728799646e-05,0.9916230611950456,0.0083575391442603,5.2571061272313096e-08,N2,0.013211507,0.0129658235,1.85962,-2.9513405959909282
2124.8708927613643,0.0011185603070713,4.1963948717738266e-15,1.4136605224288084e-13,0.5110820971457107,0.2226651145902988,0.0006864555371734,0.0137098174487942,0.2518565152780228,N2,0.014378858,0.012483704,13.180142,-2.9513405959909282
2999.1370360729857,4050.889815563402,1.6354946987332636e-21,8.146807968065071e-20,0.5018685152625921,0.0001176289234413,0.0073026020476541,0.0116882660337799,0.4790229877325324,N2,0.014372241,0.01103506,23.21963,3.6075504305092867
1646.7455796862089,275.60346713508005,1.4024068504564584e-20,3.5637632905717057e-19,0.8470513742897997,9.438448973340086e-07,0.1439352087903784,0.0090123778130645,9.526186003047801e-08,N2,0.014792433,0.010769264,27.19748,2.440284676763026
1905.4865832662033,3.5704254233820184e-08,1.3262998055386618e-10,3.581009474954387e-09,0.1524902683678493,0.2961712394584032,0.1772673098284203,0.0195015654400538,0.3545696169052733,N2,0.013405089,0.013249454,1.1610156,-7.447280033742249
2999.306119727327,9.676721065266397e-09,7.702795079856233e-10,3.2736879089388997e-08,3.441438198577001e-05,0.0185679948767216,1.916798349774963e-09,0.0449048071147835,0.9364927817097106,N2,0.0143414205,0.015086598,5.1959796,-8.014271777453754
1376.8944670400072,0.000246701306387,1.464084348282971e-14,2.596823291428218e-13,0.870905609537252,0.0266177862824254,0.0139072034002147,0.0139659294790774,0.0746034713010301,N2,0.01431139,0.015009447,4.8776326,-3.6078285507325454
1813.2687777413728,1.220694423271392e-05,3.8966555136010344e-13,9.290447092954044e-12,0.0003756662163615,0.5522491896243109,0.0037556009763413,0.0114784697665646,0.4321410734164216,N2,0.014061999,0.016245002,15.524133,-4.913393039491928
1754.654820849465,0.2387932448057794,1.927553213470337e-17,4.717432864545823e-16,0.0080472159152553,0.0004276979699975,0.7122966171573151,0.2774773013235606,0.0017511676338712,N2,0.013891731,0.009031847,34.98401,-0.6219779630747873
2094.8136866623363,6.315105618935698e-07,8.701651139466431e-12,2.431882502661408e-10,7.460261334619304e-06,2.1528743555545055e-05,0.988029812113481,0.0112693537038351,0.0006718451777937,N2,0.013960156,0.012838122,8.037398,-6.199619381555622
2017.376849196026,4609.606491539592,1.1480480468804309e-21,3.3595511266606296e-20,0.0069470943163681,0.9779916767918114,0.0006292432226516,0.0143964293835927,3.555628557598118e-05,N2,0.013008311,0.011699642,10.060255,3.663663852537743
901.6685559192756,3.4068473023633133e-10,7.308150787501775e-09,7.308150787501777e-08,0.9108129656687062,0.0760243238767121,6.775266860096695e-08,0.0131626143859073,2.831600574798204e-08,N2,0.0142451655,0.013888318,2.5050423,-9.467647331423949
1812.1517175788324,2.1373525988130675e-05,2.3411630247718874e-13,5.314440066232185e-12,1.1457508508034196e-05,5.73162334300218e-06,0.2016381349019981,0.0142220651974344,0.7841226107687164,N2,0.014306581,0.013072385,8.626766,-4.6701238264147396
1913.868352745469,0.2440967256265598,2.8641942096025213e-19,7.232090379246364e-18,0.0030094713496229,0.0143227822857868,0.5062510090570412,0.4764135731661801,3.1641413687256663e-06,N2,0.013229367,0.5630165,4155.808,-0.612438046276603
2058.996020878639,312.9424929525227,1.816787984319032e-20,5.0234187766421245e-19,0.4677535367692316,0.0037004797853701,3.595038276267633e-06,0.0109537186433055,0.5175886697638163,N2,0.013745477,0.014886966,8.304466,2.4954645379043363
2603.2387179554617,1.586337769917951e-08,4.531391670002359e-10,1.5497359511408068e-08,0.0012670602125573,0.00180195873099,0.0817650582376504,0.0261949792832326,0.8889709435355694,N2,0.01321834,0.015216093,15.113486,-7.799604335307631
1332.5119942130812,0.3880543215069267,1.4716159805473328e-19,2.4176548251849042e-18,0.0006485009622307,4.221866846243696e-07,0.5418614642213111,0.4537130957573126,0.0037765168724608,N2,0.014781323,0.3333023,2154.888,-0.4111074757475245
1303.284379854621,63004.448457694605,5.997503979543567e-23,1.0252875850743529e-21,0.0056172462071329,0.0015055596497535,0.0014827910253842,0.0042338436291691,0.9871605594885602,N2,0.014753877,0.009682902,34.370457,4.799371214095254
2782.1151729982653,0.0070383050197342,1.146065920108486e-15,4.043975460954229e-14,4.582591328096332e-06,0.0049975318675653,1.1333770499789335e-05,0.0220837153743445,0.9729028363962622,N2,0.013856956,0.013537887,2.3025925,-2.152531916029245
1782.199233184269,0.0017422065029805,3.1071526188215573e-15,6.468526815546697e-14,0.0318679851592621,0.9536821697053935,0.0001529140173706,0.0140032023594546,0.0002937287585189,N2,0.013627663,0.0128465695,5.7316775,-2.758900369540946
